id,ux,uy,uz,magnitude
32349,-0.1873878937,0.9391909560,-0.2877605350,-1.440000
30438,-0.0632250602,0.6027437912,-0.7954259953,-0.620000
69673,-0.7839158398,-0.5269265986,0.3283661307,-0.050000
71683,-0.3741595089,-0.3123341252,-0.8731850068,-0.010000
91262,0.1251153741,-0.7693896642,0.6264069666,0.030000
24608,0.1304984028,0.6823511247,0.7192823572,0.080000
24436,0.1950518276,0.9703626481,-0.1426573369,0.180000
37279,-0.4180431329,0.9038626301,0.0909521024,0.400000
7588,0.4927147840,0.2238119875,-0.8409163668,0.450000
27989,0.0208867964,0.9914351339,0.1289190328,0.450000
68702,-0.4239374076,-0.2542785585,-0.8692637627,0.610000
97649,0.4592714176,-0.8748086003,0.1542066079,0.760000
60718,-0.4494041958,-0.0523879252,-0.8917911045,0.770000
21421,0.3438992492,0.8949813766,0.2841507382,0.870000
65474,-0.9140812610,-0.3563480678,-0.1935755742,0.980000
80763,-0.3448163998,-0.8264103431,-0.4451377261,1.060000
37826,-0.3914519776,0.7911933076,0.4698707260,1.160000
113368,0.8373331462,-0.2335497089,-0.4942951910,1.170000
62434,-0.4937953490,-0.1043259520,-0.8632973121,1.250000
102098,0.4556492192,-0.5361817788,0.7105581532,1.250000
49669,-0.8644888998,0.4578907543,0.2073523556,1.360000
33579,-0.2213586510,0.8463883786,-0.4843831749,1.500000
36850,-0.3405817627,0.7777887874,0.5282505704,1.580000
61084,-0.5379430845,-0.0736108931,-0.8397610817,1.590000
85927,-0.0916382335,-0.7922595373,-0.6032638392,1.620000
25336,0.1506294255,0.9823846069,0.1105950286,1.640000
25428,0.1286578102,0.8684516707,0.4787889550,1.650000
45238,-0.2588214509,0.2306259147,-0.9379888827,1.670000
26311,0.1035787101,0.9944000486,-0.0209760387,1.690000
109268,0.6029299888,-0.3197814758,-0.7309002916,1.730000
26727,0.0838084616,0.9959051667,-0.0338975024,1.740000
39953,-0.3629559364,0.5723007560,-0.7353467434,1.750000
62956,-0.5442888007,-0.1307582058,0.8286446724,1.760000
90185,0.0868744644,-0.8206719885,-0.5647568633,1.790000
15863,0.4049793896,0.5015551315,0.7644829260,1.790000
